S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;TargetAbd;Eigenvalue;Stable;Type
3;1;0;1;0;-1;0,0000000000000000;0;0;9,99999984951911e+06;-9,99999884951911e+06;TRUE;Minimized
3;1;0;1;0;-1;0,0555555555555556;0;0;9,99999984951911e+06;-9,72740465413775e+06;TRUE;Minimized
3;1;0;1;0;-1;0,1111111111111111;0;0;9,99999984951911e+06;-9,84995434431333e+06;TRUE;Minimized
3;1;0;1;0;-1;0,1666666666666667;0;0;9,99999984951911e+06;-9,95182189219717e+06;TRUE;Minimized
3;1;0;1;0;-1;0,2222222222222222;0;0;9,99999984951911e+06;-6,85271813868636e+06;TRUE;Minimized
3;1;0;1;0;-1;0,2777777777777778;0;0;9,99999984951911e+06;-9,28743085402514e+06;TRUE;Minimized
3;1;0;1;0;-1;0,3333333333333333;0;0;9,99999984951911e+06;-7,58554705888345e+06;TRUE;Minimized
3;1;0;1;0;-1;0,3888888888888888;0;0;9,99999984951911e+06;-4,78070899342740e+05;TRUE;Minimized
3;1;0;1;0;-1;0,4444444444444444;0;0;9,99999984951911e+06;-6,58617714491994e+06;TRUE;Minimized
3;1;0;1;0;-1;0,5000000000000000;0;0;9,99999984951911e+06;-4,76898668110907e+06;TRUE;Minimized
3;1;0;1;0;0;0,0000000000000000;0;0;9,99981945384016e-01;-9,99963890768031e-01;TRUE;Minimized
3;1;0;1;0;0;0,0555555555555556;0;0;9,93820570260497e-01;-9,59631410938856e-01;TRUE;Minimized
3;1;0;1;0;0;0,1111111111111111;0;0;9,09936905101945e-01;-9,09874910919531e-01;TRUE;Minimized
3;1;0;1;0;0;0,1666666666666667;0;0;1,00937976065195e+00;-9,33236509914710e-01;TRUE;Minimized
3;1;0;1;0;0;0,2222222222222222;0;0;1,74777094707301e+00;-1,51171384172300e+00;TRUE;Minimized
3;1;0;1;0;0;0,2777777777777778;0;0;1,09683916310256e+00;-9,87649870100308e-01;TRUE;Minimized
3;1;0;1;0;0;0,3333333333333333;0;0;1,01631743785652e+00;-7,43893222937695e-01;TRUE;Minimized
3;1;0;1;0;0;0,3888888888888888;0;0;3,92510708487218e+00;-2,80918552668469e+00;TRUE;Minimized
3;1;0;1;0;0;0,4444444444444444;0;0;1,15868859347322e+00;-3,45675114527585e-01;TRUE;Minimized
3;1;0;1;0;0;0,5000000000000000;0;0;1,21748337323759e+00;-4,12993506029863e-01;TRUE;Minimized
3;1;0;1;0;1;0,0000000000000000;0;0;5,00019403003048e-01;-4,99941790990856e-01;TRUE;Minimized
3;1;0;1;0;1;0,0555555555555556;0;0;4,95949524264915e-01;-4,67543038953773e-01;TRUE;Minimized
3;1;0;1;0;1;0,1111111111111111;0;0;5,14232355830905e-01;-4,24284721757789e-01;TRUE;Minimized
3;1;0;1;0;1;0,1666666666666667;0;0;4,83498715894849e-01;-4,83451612341041e-01;TRUE;Minimized
3;1;0;1;0;1;0,2222222222222222;0;0;5,79526864600350e-01;-5,31919627497065e-01;TRUE;Minimized
3;1;0;1;0;1;0,2777777777777778;0;0;4,93401312943257e-01;-4,36801494927199e-01;TRUE;Minimized
3;1;0;1;0;1;0,3333333333333333;0;0;5,59412510396723e-01;-5,10657933811436e-01;TRUE;Minimized
3;1;0;1;0;1;0,3888888888888888;0;0;5,46128017750037e-01;-5,00706115567659e-01;TRUE;Minimized
3;1;0;1;0;1;0,4444444444444444;0;0;4,36987994085320e-01;-4,36944063001535e-01;TRUE;Minimized
3;1;0;1;0;1;0,5000000000000000;0;0;5,66258097181282e-01;-3,54402075404837e-01;TRUE;Minimized
